제목,장르,감독,배우,평점
Movie 2924,로맨스,Director O,"Actor Y, Actor G",7.5
Movie 3861,스릴러,Director J,"Actor L, Actor T, Actor S, Actor M",7.5
Movie 4567,코미디,Director O,Actor T,7.3
Movie 595,SF,Director G,Actor G,9.9
Movie 6134,애니메이션,Director C,"Actor I, Actor F, Actor D, Actor S, Actor G",3.9
Movie 9416,액션,Director O,"Actor Q, Actor H, Actor O, Actor F, Actor Q",2.4
Movie 3975,애니메이션,Director C,Actor D,0.1
Movie 2186,스릴러,Director M,"Actor A, Actor I",7.8
Movie 1581,로맨스,Director Q,"Actor J, Actor H, Actor R, Actor K, Actor K",6.0
Movie 9979,SF,Director U,"Actor D, Actor M",7.3
Movie 3882,스릴러,Director H,"Actor E, Actor Q, Actor J",7.6
Movie 9940,코미디,Director S,"Actor R, Actor C, Actor K, Actor F, Actor T",0.7
Movie 6838,스릴러,Director Z,"Actor P, Actor L",1.0
Movie 443,애니메이션,Director H,"Actor U, Actor V, Actor K, Actor S, Actor J",4.8
Movie 6654,드라마,Director I,"Actor F, Actor T, Actor P, Actor I",3.6
Movie 5807,SF,Director L,"Actor C, Actor H, Actor C, Actor H",7.8
Movie 7003,로맨스,Director T,"Actor N, Actor G, Actor A",6.3
Movie 1564,드라마,Director H,Actor M,4.6
Movie 8362,코미디,Director E,"Actor M, Actor F, Actor R, Actor N, Actor M",1.5
Movie 6505,SF,Director Q,"Actor H, Actor Q",8.0
Movie 6965,스릴러,Director G,"Actor X, Actor S",0.5
Movie 476,액션,Director E,"Actor U, Actor U",9.5
Movie 9417,애니메이션,Director F,Actor I,1.1
Movie 3098,액션,Director C,"Actor P, Actor P, Actor K, Actor T, Actor C",5.1
Movie 1072,스릴러,Director U,"Actor D, Actor E, Actor O",6.6
Movie 1580,드라마,Director Y,"Actor Q, Actor H",4.9
Movie 8148,코미디,Director N,Actor S,3.9
Movie 6223,코미디,Director F,Actor X,6.2
Movie 757,액션,Director E,"Actor D, Actor M",8.5
Movie 4471,코미디,Director W,"Actor R, Actor E, Actor R",1.0
Movie 5866,액션,Director S,"Actor P, Actor I, Actor R, Actor P",3.3
Movie 4336,애니메이션,Director G,"Actor A, Actor O",1.1
Movie 3819,액션,Director K,"Actor U, Actor R, Actor X, Actor Z, Actor H",5.8
Movie 1155,애니메이션,Director P,"Actor A, Actor Y, Actor G",1.9
Movie 6717,코미디,Director Y,Actor J,1.1
Movie 8264,드라마,Director M,"Actor Z, Actor D, Actor F",0.2
Movie 5610,SF,Director V,Actor A,0.2
Movie 346,드라마,Director K,"Actor E, Actor B, Actor Y",9.0
Movie 3669,드라마,Director V,"Actor X, Actor S",7.2
Movie 6979,액션,Director M,Actor I,4.9
Movie 7133,애니메이션,Director F,"Actor A, Actor R, Actor A, Actor R",1.1
Movie 5793,스릴러,Director Z,"Actor U, Actor M",9.2
Movie 2428,로맨스,Director K,"Actor O, Actor Z, Actor J, Actor G, Actor L",7.1
Movie 352,스릴러,Director Z,Actor D,9.8
Movie 7900,SF,Director K,"Actor P, Actor Z, Actor U, Actor J, Actor K",8.0
Movie 2896,애니메이션,Director N,"Actor V, Actor Z, Actor Z",8.1
Movie 9568,스릴러,Director U,"Actor K, Actor U, Actor H, Actor X, Actor M",4.9
Movie 5574,애니메이션,Director G,"Actor A, Actor U, Actor D",5.3
Movie 7205,로맨스,Director X,"Actor Z, Actor M, Actor I, Actor Q",8.4
Movie 1396,액션,Director Q,"Actor M, Actor I, Actor L, Actor C, Actor H",1.7
Movie 5904,애니메이션,Director U,"Actor K, Actor U",10.0
Movie 6528,애니메이션,Director L,"Actor V, Actor A",1.4
Movie 4121,액션,Director Z,"Actor N, Actor X, Actor B, Actor F",7.0
Movie 6569,스릴러,Director R,"Actor E, Actor A, Actor N, Actor Z",7.0
Movie 9670,로맨스,Director I,Actor Q,4.8
Movie 4806,SF,Director E,"Actor X, Actor G, Actor B, Actor F, Actor W",8.7
Movie 8489,액션,Director Q,"Actor O, Actor F, Actor I, Actor F",3.6
Movie 3036,드라마,Director B,Actor C,4.2
Movie 1322,드라마,Director O,"Actor A, Actor O, Actor X",2.2
Movie 1159,드라마,Director H,"Actor W, Actor Y, Actor K",1.7
Movie 743,스릴러,Director N,Actor E,2.2
Movie 1119,액션,Director M,"Actor D, Actor R, Actor U, Actor G, Actor R",5.3
Movie 6162,스릴러,Director E,"Actor F, Actor O",5.4
Movie 8564,코미디,Director P,"Actor S, Actor D, Actor P",0.2
Movie 2902,액션,Director F,"Actor P, Actor Z, Actor C",5.9
Movie 8363,애니메이션,Director X,"Actor H, Actor S, Actor G, Actor U, Actor I",6.3
Movie 6606,액션,Director Z,"Actor F, Actor C, Actor L",7.3
Movie 8972,SF,Director L,"Actor N, Actor A, Actor Q, Actor D",5.2
Movie 9287,코미디,Director O,Actor Q,6.1
Movie 5996,애니메이션,Director W,"Actor I, Actor H, Actor D, Actor I",9.2
Movie 3873,스릴러,Director F,"Actor C, Actor E, Actor A",1.9
Movie 8873,애니메이션,Director F,"Actor Z, Actor P, Actor A",3.7
Movie 4868,코미디,Director Z,"Actor N, Actor D",9.8
Movie 3591,액션,Director G,"Actor X, Actor L, Actor Z, Actor W",4.4
Movie 8195,SF,Director D,Actor G,2.0
Movie 2371,액션,Director M,"Actor B, Actor D, Actor F, Actor X",0.3
Movie 8381,액션,Director M,"Actor M, Actor H, Actor A",5.4
Movie 6575,로맨스,Director K,"Actor Z, Actor S, Actor Z, Actor D",4.2
Movie 5278,스릴러,Director N,"Actor O, Actor G, Actor J, Actor D",3.1
Movie 4193,애니메이션,Director A,"Actor O, Actor Q",1.6
Movie 1845,스릴러,Director Z,"Actor B, Actor M, Actor C",2.9
Movie 5633,드라마,Director Y,"Actor E, Actor Q, Actor P, Actor X, Actor Z",9.9
Movie 6793,애니메이션,Director N,"Actor C, Actor D, Actor R",2.7
Movie 5818,스릴러,Director Y,"Actor F, Actor Q, Actor F",2.9
Movie 4015,SF,Director F,"Actor J, Actor Z, Actor X",9.8
Movie 9475,드라마,Director O,"Actor Z, Actor E, Actor S",7.3
Movie 5745,로맨스,Director C,Actor Q,5.1
Movie 8562,액션,Director W,"Actor B, Actor Q",3.5
Movie 9095,애니메이션,Director T,"Actor U, Actor C, Actor G",6.8
Movie 8374,액션,Director P,"Actor P, Actor M, Actor L, Actor X, Actor X",2.9
Movie 3986,드라마,Director L,Actor F,3.9
Movie 2208,SF,Director H,"Actor C, Actor K, Actor V, Actor T, Actor Q",3.6
Movie 6309,SF,Director R,"Actor U, Actor J, Actor X, Actor K",6.8
Movie 8744,코미디,Director A,"Actor V, Actor R, Actor F, Actor O, Actor G",4.8
Movie 7774,SF,Director N,Actor Z,6.9
Movie 8610,드라마,Director G,"Actor Q, Actor L",8.8
Movie 6424,액션,Director U,"Actor C, Actor O, Actor K",3.0
Movie 2110,코미디,Director K,"Actor W, Actor J",9.3
Movie 8332,코미디,Director Q,"Actor F, Actor I, Actor B, Actor V",5.9
Movie 3880,로맨스,Director W,Actor I,8.4
Movie 1258,드라마,Director Z,"Actor O, Actor I, Actor F",5.2
Movie 5872,애니메이션,Director X,"Actor A, Actor K, Actor J, Actor I",6.8
Movie 1236,애니메이션,Director T,Actor S,4.2
Movie 5561,스릴러,Director Y,Actor Y,6.5
Movie 1708,스릴러,Director W,"Actor K, Actor V, Actor P",1.9
Movie 5453,드라마,Director I,"Actor R, Actor C, Actor W, Actor X, Actor S",8.4
Movie 444,스릴러,Director Z,"Actor U, Actor P, Actor A, Actor T, Actor O",5.9
Movie 6968,스릴러,Director Y,"Actor E, Actor H, Actor A",5.2
Movie 5424,코미디,Director K,Actor E,6.5
Movie 7756,드라마,Director J,"Actor G, Actor J, Actor Q, Actor X",7.3
Movie 7877,코미디,Director C,"Actor X, Actor H, Actor U, Actor G, Actor T",3.5
Movie 8662,코미디,Director G,"Actor B, Actor O, Actor C, Actor B",8.7
Movie 625,코미디,Director N,Actor C,4.3
Movie 4078,SF,Director G,"Actor T, Actor B",8.5
Movie 377,SF,Director J,Actor Y,7.2
Movie 2067,스릴러,Director S,"Actor N, Actor T, Actor U, Actor Y",9.0
Movie 6552,드라마,Director P,Actor Y,7.5
Movie 4974,SF,Director Z,"Actor Q, Actor K, Actor R, Actor M",8.6
Movie 1236,로맨스,Director J,"Actor L, Actor A, Actor Q",4.6
Movie 2782,드라마,Director O,Actor V,2.4
Movie 7826,액션,Director Z,"Actor A, Actor I, Actor Q",8.3
Movie 8649,SF,Director H,"Actor G, Actor X, Actor U, Actor B",5.5
Movie 8628,로맨스,Director J,"Actor Z, Actor P, Actor Y, Actor V, Actor B",6.7
Movie 4848,스릴러,Director C,"Actor F, Actor S, Actor W, Actor K, Actor P",3.4
Movie 4639,액션,Director J,"Actor V, Actor R, Actor M, Actor Q, Actor W",8.5
Movie 7105,코미디,Director L,Actor Y,6.2
Movie 4139,로맨스,Director R,"Actor I, Actor Y, Actor U, Actor Q, Actor D",6.1
Movie 3587,애니메이션,Director P,Actor M,6.2
Movie 5334,로맨스,Director B,Actor X,4.3
Movie 9412,로맨스,Director E,"Actor F, Actor J, Actor H, Actor W",4.4
Movie 8107,SF,Director I,"Actor M, Actor Q",2.7
Movie 7705,SF,Director V,"Actor A, Actor T, Actor W",1.8
Movie 1935,코미디,Director V,"Actor F, Actor P, Actor O, Actor D",8.4
Movie 2130,SF,Director D,"Actor Z, Actor A, Actor O, Actor Q",8.6
Movie 4941,로맨스,Director L,"Actor V, Actor B, Actor P, Actor A, Actor S",1.8
Movie 8453,애니메이션,Director O,"Actor E, Actor A, Actor Z, Actor D",9.9
Movie 1599,액션,Director Z,"Actor F, Actor R",2.7
Movie 5648,액션,Director V,"Actor E, Actor Y",1.3
Movie 4400,로맨스,Director F,"Actor Z, Actor F",5.5
Movie 5741,코미디,Director P,"Actor O, Actor O",8.0
Movie 9798,애니메이션,Director Z,Actor S,7.9
Movie 8212,SF,Director G,"Actor P, Actor W, Actor Y",3.1
Movie 7022,SF,Director V,"Actor M, Actor A, Actor H",3.0
Movie 2195,애니메이션,Director H,"Actor A, Actor M, Actor E, Actor O, Actor Y",8.7
Movie 4645,코미디,Director D,"Actor H, Actor G, Actor E, Actor W",4.9
Movie 4442,스릴러,Director M,"Actor Y, Actor Y",2.4
Movie 6089,코미디,Director R,"Actor Q, Actor E, Actor Q, Actor G",8.1
Movie 5226,SF,Director I,"Actor E, Actor S",4.0
Movie 8684,애니메이션,Director X,"Actor W, Actor U, Actor F, Actor B, Actor A",6.2
Movie 9685,코미디,Director M,Actor M,8.9
Movie 9272,로맨스,Director V,"Actor X, Actor I",0.2
Movie 5119,스릴러,Director Y,"Actor N, Actor A, Actor Y",0.5
Movie 4547,로맨스,Director C,"Actor G, Actor H, Actor V, Actor T",3.5
Movie 4940,애니메이션,Director G,"Actor W, Actor T, Actor U, Actor Z, Actor M",5.8
Movie 1749,로맨스,Director A,"Actor V, Actor A, Actor T",1.6
Movie 6184,로맨스,Director T,"Actor J, Actor W, Actor U, Actor Y",3.6
Movie 8033,스릴러,Director V,Actor Y,3.5
Movie 8557,SF,Director V,"Actor B, Actor T",9.9
Movie 9315,드라마,Director F,Actor G,1.6
Movie 2039,스릴러,Director C,"Actor D, Actor V, Actor Q",0.5
Movie 7187,로맨스,Director Y,"Actor B, Actor Y, Actor R, Actor K, Actor Y",7.8
Movie 406,코미디,Director K,"Actor Z, Actor P, Actor Q, Actor P",7.3
Movie 7722,드라마,Director W,Actor W,8.8
Movie 177,코미디,Director C,"Actor Z, Actor W, Actor I, Actor A, Actor Z",1.6
Movie 8991,코미디,Director U,"Actor R, Actor X, Actor W, Actor F, Actor A",3.2
Movie 280,액션,Director P,"Actor H, Actor S, Actor V, Actor E, Actor L",5.9
Movie 5307,코미디,Director Z,"Actor U, Actor V, Actor C, Actor N, Actor A",8.9
Movie 574,스릴러,Director T,"Actor W, Actor D, Actor L, Actor X",4.4
Movie 8345,애니메이션,Director H,"Actor D, Actor T",3.1
Movie 480,드라마,Director K,"Actor F, Actor K, Actor N, Actor I, Actor C",3.8
Movie 9770,애니메이션,Director A,"Actor C, Actor Q",5.0
Movie 5133,SF,Director B,Actor L,1.6
Movie 5607,드라마,Director W,"Actor C, Actor A",6.7
Movie 2240,액션,Director H,"Actor G, Actor Q, Actor G, Actor D",1.6
Movie 645,스릴러,Director O,Actor L,9.9
Movie 9040,드라마,Director G,"Actor X, Actor I, Actor E, Actor T",9.3
Movie 6780,SF,Director R,"Actor V, Actor L, Actor Q, Actor U, Actor K",2.8
Movie 4955,SF,Director G,"Actor I, Actor K, Actor V, Actor K, Actor R",7.8
Movie 7267,SF,Director W,"Actor Y, Actor N, Actor H, Actor X, Actor A",0.6
Movie 6294,코미디,Director H,Actor Q,4.2
Movie 5198,코미디,Director K,"Actor M, Actor V, Actor V, Actor Z",4.1
Movie 5735,드라마,Director Z,"Actor L, Actor Z, Actor A",5.2
Movie 9013,액션,Director X,"Actor C, Actor O, Actor R",7.1
Movie 2008,코미디,Director R,"Actor Q, Actor B, Actor I",1.1
Movie 933,SF,Director C,Actor M,2.8
Movie 9713,로맨스,Director G,Actor E,1.2
Movie 1226,로맨스,Director J,"Actor N, Actor O, Actor M",2.7
Movie 7629,애니메이션,Director Q,Actor G,1.0
Movie 1591,애니메이션,Director T,"Actor A, Actor N, Actor A",6.5
Movie 8313,스릴러,Director D,"Actor N, Actor J, Actor B",5.8
Movie 8688,스릴러,Director B,Actor G,9.8
Movie 9177,액션,Director J,"Actor A, Actor A, Actor I, Actor B",6.3
Movie 6996,SF,Director L,"Actor B, Actor H",1.1
Movie 4154,SF,Director Q,"Actor Z, Actor R, Actor W",5.1
Movie 8323,드라마,Director J,"Actor J, Actor O, Actor P",9.6
Movie 3231,애니메이션,Director I,"Actor S, Actor U",3.5
Movie 5260,애니메이션,Director L,"Actor M, Actor D, Actor B, Actor B, Actor X",0.7
Movie 976,SF,Director X,"Actor B, Actor P, Actor F, Actor T, Actor J",5.5
Movie 1226,코미디,Director U,"Actor J, Actor P, Actor N",6.9
Movie 7153,스릴러,Director O,"Actor R, Actor E, Actor S, Actor O",7.8
Movie 5726,로맨스,Director U,"Actor E, Actor E, Actor X, Actor W",9.5
Movie 5488,스릴러,Director R,"Actor C, Actor C, Actor N, Actor G, Actor M",9.0
Movie 3646,SF,Director O,"Actor Q, Actor H, Actor K, Actor D",0.5
Movie 9967,SF,Director B,"Actor K, Actor R, Actor Y",4.1
Movie 5712,로맨스,Director N,"Actor O, Actor U, Actor J, Actor E",1.6
Movie 506,액션,Director Q,"Actor X, Actor K, Actor P, Actor A, Actor B",6.6
Movie 1589,스릴러,Director D,"Actor X, Actor F, Actor X, Actor W",4.4
Movie 6824,액션,Director U,"Actor N, Actor S, Actor F",8.9
Movie 7789,액션,Director E,"Actor D, Actor H",1.2
Movie 9506,드라마,Director W,Actor N,8.9
Movie 3493,SF,Director H,"Actor Z, Actor V, Actor B, Actor I, Actor J",5.9
Movie 7457,SF,Director S,"Actor V, Actor A",7.0
Movie 9460,액션,Director F,"Actor F, Actor O, Actor G",8.9
Movie 2984,SF,Director H,"Actor Y, Actor S, Actor H, Actor G, Actor X",6.7
Movie 2967,액션,Director Q,"Actor E, Actor O, Actor P, Actor D, Actor D",5.7
Movie 7428,액션,Director Y,"Actor O, Actor F, Actor A, Actor O",4.6
Movie 482,SF,Director K,"Actor L, Actor E, Actor W",2.9
Movie 142,스릴러,Director J,"Actor A, Actor N",7.5
Movie 3612,애니메이션,Director I,"Actor T, Actor H",7.6
Movie 2914,드라마,Director W,"Actor V, Actor H, Actor C, Actor W, Actor V",0.5
Movie 7972,드라마,Director O,"Actor Y, Actor N",4.5
Movie 7895,액션,Director A,"Actor W, Actor S, Actor M, Actor U, Actor O",9.2
Movie 3680,애니메이션,Director A,"Actor B, Actor B, Actor M, Actor M, Actor K",8.6
Movie 4402,드라마,Director Y,"Actor N, Actor Y, Actor G, Actor Q, Actor D",3.4
Movie 3281,코미디,Director M,"Actor H, Actor O, Actor B, Actor E, Actor C",7.2
Movie 90,SF,Director Z,Actor X,1.2
Movie 4952,애니메이션,Director B,"Actor V, Actor Y, Actor F, Actor G, Actor J",1.8
Movie 1072,코미디,Director F,"Actor T, Actor U, Actor Q, Actor R, Actor P",6.4
Movie 9582,스릴러,Director B,"Actor B, Actor G, Actor A, Actor M, Actor Y",5.9
Movie 5864,애니메이션,Director S,"Actor Z, Actor H, Actor K",8.3
Movie 6347,SF,Director Q,"Actor C, Actor V",7.2
Movie 7962,로맨스,Director Y,"Actor Y, Actor W, Actor C",4.5
Movie 9734,드라마,Director L,"Actor K, Actor J, Actor K, Actor W",4.2
Movie 4972,로맨스,Director Q,"Actor H, Actor P",1.7
Movie 4291,로맨스,Director E,"Actor Y, Actor J, Actor J, Actor I",9.3
Movie 6298,애니메이션,Director H,"Actor F, Actor X",5.9
Movie 2347,애니메이션,Director A,Actor R,7.6
Movie 1971,드라마,Director S,Actor Q,6.6
Movie 3429,드라마,Director Z,"Actor V, Actor H",0.4
Movie 599,액션,Director K,"Actor T, Actor P, Actor J, Actor W, Actor C",7.1
Movie 2856,스릴러,Director N,"Actor G, Actor N, Actor G",1.9
Movie 2920,로맨스,Director P,"Actor K, Actor L, Actor C, Actor G, Actor Q",6.3
Movie 9466,애니메이션,Director Y,"Actor X, Actor Z, Actor Z, Actor J, Actor M",6.0
Movie 8965,코미디,Director Q,"Actor U, Actor U, Actor E",4.8
Movie 1622,드라마,Director A,"Actor Y, Actor G, Actor C, Actor U, Actor L",9.0
Movie 1726,SF,Director K,"Actor D, Actor V",2.6
Movie 8743,드라마,Director N,"Actor N, Actor H, Actor K",6.7
Movie 2317,코미디,Director D,"Actor C, Actor K, Actor U, Actor Y, Actor K",6.2
Movie 3322,액션,Director F,"Actor H, Actor H",0.4
Movie 7712,액션,Director Q,"Actor S, Actor W, Actor L",7.9
Movie 3225,스릴러,Director F,"Actor N, Actor X",7.5
Movie 9184,로맨스,Director O,"Actor S, Actor H, Actor R",4.2
Movie 9856,로맨스,Director P,"Actor G, Actor H, Actor E",2.7
Movie 4094,드라마,Director A,"Actor G, Actor G, Actor W, Actor O",9.1
Movie 2494,드라마,Director J,"Actor K, Actor L, Actor F",3.0
Movie 5262,스릴러,Director R,"Actor O, Actor G",3.9
Movie 4274,스릴러,Director U,"Actor L, Actor T, Actor C, Actor V, Actor O",1.2
Movie 3509,액션,Director H,"Actor Y, Actor J, Actor B",8.8
Movie 3489,드라마,Director E,"Actor X, Actor Q, Actor E, Actor S",9.0
Movie 5430,스릴러,Director P,"Actor B, Actor I, Actor G",6.7
Movie 1539,스릴러,Director O,Actor A,2.4
Movie 7307,드라마,Director W,"Actor B, Actor N, Actor K, Actor G, Actor Y",2.1
Movie 6774,로맨스,Director I,"Actor T, Actor D, Actor K",9.7
Movie 2955,드라마,Director J,"Actor N, Actor S, Actor T, Actor C, Actor U",7.1
Movie 5238,SF,Director V,"Actor L, Actor P",5.3
Movie 8046,SF,Director A,"Actor I, Actor W, Actor B",5.1
Movie 7971,스릴러,Director P,"Actor T, Actor G, Actor Y",6.8
Movie 2373,코미디,Director C,"Actor Y, Actor O, Actor F, Actor X",3.6
Movie 1536,애니메이션,Director E,"Actor G, Actor R, Actor J",4.9
Movie 1863,드라마,Director D,"Actor T, Actor B, Actor F",1.2
Movie 2309,액션,Director F,"Actor L, Actor Y",6.1
Movie 991,드라마,Director F,Actor G,1.4
Movie 7857,SF,Director J,"Actor V, Actor E, Actor O",5.8
Movie 1545,로맨스,Director K,"Actor V, Actor P, Actor Y, Actor U",8.0
Movie 8703,드라마,Director Y,Actor Q,5.0
Movie 1953,스릴러,Director W,"Actor Q, Actor S, Actor T, Actor C",0.1
Movie 2036,코미디,Director J,"Actor H, Actor S, Actor O",7.1
Movie 4770,코미디,Director B,"Actor Y, Actor B, Actor K, Actor N, Actor T",6.2
Movie 8570,로맨스,Director Z,"Actor R, Actor G, Actor N, Actor R, Actor X",5.4
Movie 8894,코미디,Director Z,"Actor B, Actor N, Actor M, Actor Z, Actor G",0.1
Movie 6413,애니메이션,Director B,"Actor I, Actor J, Actor L, Actor B",5.8
Movie 8246,드라마,Director Y,"Actor D, Actor B, Actor X",4.7
Movie 7693,드라마,Director E,Actor Z,1.0
Movie 1836,애니메이션,Director Y,"Actor M, Actor N, Actor Z",8.7
Movie 6942,로맨스,Director Z,"Actor L, Actor P, Actor K",1.1
Movie 1467,SF,Director G,Actor K,5.4
Movie 9749,SF,Director D,"Actor S, Actor Y, Actor G, Actor T",6.5
Movie 1846,로맨스,Director R,"Actor V, Actor U",5.2
Movie 3719,로맨스,Director H,Actor H,4.3
Movie 3083,SF,Director T,Actor Q,9.1
Movie 8030,액션,Director E,"Actor H, Actor L, Actor Y, Actor C",0.9
Movie 5203,로맨스,Director V,Actor H,9.8
Movie 5064,코미디,Director B,Actor O,0.1
Movie 9729,스릴러,Director K,Actor V,6.5
Movie 4824,로맨스,Director I,"Actor U, Actor Z",9.2
Movie 4810,코미디,Director J,"Actor A, Actor T, Actor S",9.4
Movie 5003,액션,Director D,"Actor Z, Actor J",1.0
Movie 5020,애니메이션,Director D,"Actor K, Actor G, Actor N",2.5
Movie 3828,코미디,Director U,"Actor B, Actor A, Actor G, Actor Y, Actor G",2.3
Movie 7544,액션,Director U,"Actor A, Actor L",8.7
Movie 4996,드라마,Director Z,"Actor T, Actor O, Actor N, Actor E, Actor H",9.1
Movie 4041,코미디,Director W,"Actor J, Actor O, Actor G",4.9
Movie 2739,스릴러,Director O,"Actor P, Actor O",8.4
Movie 8733,SF,Director Y,"Actor O, Actor P, Actor I",1.6
Movie 3043,로맨스,Director Q,"Actor A, Actor D, Actor P, Actor I",4.0
Movie 8794,코미디,Director Q,"Actor C, Actor Y",1.4
Movie 7087,SF,Director R,Actor E,7.7
Movie 5191,SF,Director Y,Actor T,9.1
Movie 4143,액션,Director P,"Actor A, Actor E, Actor X, Actor I",9.6
Movie 665,액션,Director L,"Actor E, Actor G, Actor Z, Actor O, Actor A",4.5
Movie 4969,코미디,Director L,"Actor F, Actor V, Actor R",1.7
Movie 8386,액션,Director X,"Actor A, Actor M, Actor D, Actor R",7.4
Movie 4661,액션,Director E,"Actor F, Actor X, Actor N",0.4
Movie 4261,액션,Director M,"Actor K, Actor U, Actor U, Actor L, Actor L",2.6
Movie 8752,드라마,Director L,"Actor D, Actor S, Actor G, Actor Z, Actor B",1.9
Movie 9886,SF,Director X,Actor U,5.5
Movie 2176,스릴러,Director A,"Actor Y, Actor M, Actor A, Actor A",1.4
Movie 2952,애니메이션,Director U,"Actor C, Actor C, Actor F, Actor J",8.1
Movie 8739,드라마,Director X,"Actor P, Actor X",4.4
Movie 9193,코미디,Director N,"Actor L, Actor Y, Actor X, Actor D",8.2
Movie 6999,코미디,Director F,"Actor C, Actor S, Actor X, Actor D, Actor L",6.4
Movie 9846,SF,Director Y,"Actor U, Actor W, Actor G",0.6
Movie 5105,애니메이션,Director E,Actor G,7.6
Movie 7928,액션,Director A,"Actor K, Actor E, Actor S",6.4
Movie 2041,SF,Director E,"Actor O, Actor E, Actor Y, Actor I, Actor G",0.7
Movie 7289,코미디,Director Q,"Actor N, Actor W",3.0
Movie 4648,드라마,Director G,"Actor G, Actor Q, Actor A, Actor X",8.3
Movie 1778,코미디,Director N,"Actor V, Actor N, Actor X, Actor Z",7.8
Movie 6910,코미디,Director F,Actor Q,2.0
Movie 8090,SF,Director I,"Actor J, Actor G",7.6
Movie 2068,드라마,Director N,Actor B,9.4
Movie 5451,액션,Director R,"Actor A, Actor X, Actor O, Actor K, Actor M",7.3
Movie 2077,로맨스,Director N,"Actor M, Actor T, Actor V, Actor J, Actor C",1.2
Movie 2520,애니메이션,Director I,"Actor G, Actor T",7.0
Movie 8614,로맨스,Director R,"Actor D, Actor S, Actor P",4.2
Movie 4902,액션,Director W,"Actor J, Actor E, Actor N",0.2
Movie 8288,스릴러,Director K,"Actor A, Actor O",6.7
Movie 1778,애니메이션,Director S,"Actor A, Actor Y",9.5
Movie 5319,스릴러,Director G,"Actor B, Actor K, Actor Q, Actor N",3.8
Movie 1850,SF,Director V,Actor R,7.2
Movie 652,스릴러,Director R,Actor G,4.6
Movie 8011,액션,Director A,"Actor K, Actor K, Actor G, Actor W, Actor P",0.9
Movie 8717,로맨스,Director Y,"Actor H, Actor E, Actor X, Actor F",3.1
Movie 7544,드라마,Director F,"Actor X, Actor V, Actor E, Actor I, Actor N",8.5
Movie 3429,SF,Director O,"Actor T, Actor L, Actor M, Actor P, Actor Y",8.9
Movie 1607,드라마,Director A,"Actor C, Actor J, Actor Y, Actor U",2.1
Movie 8424,SF,Director J,"Actor O, Actor N",4.3
Movie 9314,스릴러,Director B,"Actor A, Actor L",3.5
Movie 2159,코미디,Director P,"Actor D, Actor H",6.0
Movie 7311,SF,Director W,Actor A,4.5
Movie 8675,로맨스,Director Y,"Actor L, Actor X, Actor O, Actor E",6.6
Movie 8004,액션,Director W,Actor M,5.5
Movie 8782,드라마,Director Q,Actor F,0.9
Movie 9500,드라마,Director X,Actor Q,0.8
Movie 5613,액션,Director V,"Actor J, Actor U",4.6
Movie 9745,드라마,Director Q,Actor O,8.5
Movie 8696,애니메이션,Director D,"Actor C, Actor J",1.3
Movie 407,SF,Director T,Actor G,2.8
Movie 7198,액션,Director X,"Actor P, Actor X, Actor E",9.0
Movie 3086,코미디,Director U,"Actor N, Actor G, Actor N",1.8
Movie 7254,로맨스,Director N,Actor H,7.5
Movie 8411,로맨스,Director Q,"Actor U, Actor R, Actor E, Actor T, Actor R",1.5
Movie 6322,SF,Director R,Actor K,5.2
Movie 8833,코미디,Director V,Actor U,5.0
Movie 8518,SF,Director J,"Actor S, Actor N, Actor N, Actor H",1.9
Movie 3574,드라마,Director R,"Actor P, Actor D, Actor U, Actor V, Actor H",7.9
Movie 7512,액션,Director U,Actor K,1.7
Movie 2992,SF,Director M,"Actor Z, Actor U, Actor O, Actor L",5.1
Movie 2199,SF,Director J,Actor W,9.1
Movie 4584,스릴러,Director S,"Actor P, Actor E",2.1
Movie 9286,드라마,Director X,"Actor V, Actor D, Actor U, Actor I, Actor P",4.1
Movie 6880,애니메이션,Director R,"Actor D, Actor D, Actor C, Actor C, Actor K",3.5
Movie 4382,로맨스,Director R,"Actor X, Actor C, Actor T",0.7
Movie 2427,애니메이션,Director K,Actor S,8.2
Movie 5447,코미디,Director P,"Actor S, Actor M, Actor I, Actor C",6.5
Movie 6090,코미디,Director R,"Actor L, Actor I",6.7
Movie 691,코미디,Director K,"Actor O, Actor A, Actor B, Actor E, Actor D",1.9
Movie 5890,액션,Director F,"Actor B, Actor K",8.1
Movie 2021,스릴러,Director H,"Actor I, Actor S, Actor T, Actor H",8.8
Movie 8826,SF,Director T,Actor D,5.3
Movie 2079,로맨스,Director W,"Actor I, Actor U, Actor Y, Actor Z, Actor J",9.8
Movie 9887,로맨스,Director A,Actor H,1.1
Movie 8117,드라마,Director C,"Actor K, Actor V, Actor F",4.8
Movie 1355,코미디,Director P,"Actor A, Actor H, Actor N, Actor B",9.6
Movie 5155,드라마,Director I,"Actor J, Actor H, Actor S, Actor A",9.6
Movie 3462,드라마,Director V,"Actor Z, Actor G, Actor B, Actor D, Actor L",4.4
Movie 2151,코미디,Director Y,"Actor K, Actor X, Actor R, Actor V, Actor A",3.5
Movie 9677,스릴러,Director G,Actor P,4.3
Movie 5078,애니메이션,Director T,"Actor O, Actor L, Actor J, Actor W, Actor G",8.5
Movie 8154,로맨스,Director P,"Actor O, Actor S",0.8
Movie 55,로맨스,Director X,Actor E,5.3
Movie 9923,액션,Director Q,Actor C,2.9
